name,description,minutes,tags,steps,ingredients,Calories,Protein,Fat,Sugar,Sodium,Iron,Vitamin C,Cholesterol,Trans Fat,Calcium
Baked Chicken,A delicious dish made with Cumin and other ingredients.,28,"General,Recipe,Quick,Vegetarian","Prepare the Cheese., Prepare the Sugar., Prepare the Caesar dressing., Prepare the Cheese., Prepare the Sugar.","Tomatoes, Caesar dressing, Sugar, Cheese",608,38,17,22,97,1.86,22,27,0.2,980
Tom Kha Gai,A delicious dish made with Thyme and other ingredients.,20,"General,Recipe,Quick,Vegetarian","Prepare the Salt., Prepare the Bell peppers., Prepare the Bell peppers., Prepare the Pepper., Prepare the Bell peppers.","Salt, Pepper, Onions, Bell peppers, Tortillas",700,12,15,3,76,3.63,16,37,4.77,486
Vegetable Lasagna,A delicious dish made with Cumin and other ingredients.,38,"General,Recipe,Vegetarian,Low Fat","Prepare the Thyme., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Coconut milk.","Coconut milk, Lettuce, Caesar dressing, Rosemary, Thyme",780,40,10,4,212,0.3,70,195,7.54,967
Pumpkin Soup,A delicious dish made with Flour and other ingredients.,27,"General,Recipe,Quick,Vegetarian","Prepare the Croutons., Prepare the Croutons., Prepare the Cilantro., Prepare the Lettuce., Prepare the Caesar dressing.","Croutons, Cilantro, Lettuce, Caesar dressing, Bell peppers",538,27,18,3,300,4.05,81,286,9.16,175
Sweet and Sour Chicken,A delicious dish made with Basil and other ingredients.,21,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Onions., Prepare the Bell peppers., Prepare the Rice., Prepare the Onions., Prepare the Bell peppers.","Bell peppers, Rice, Onions, Carrots",550,26,1,12,412,4.86,40,107,5.45,491
Stuffed Mushrooms,A delicious dish made with Cilantro and other ingredients.,37,"General,Recipe,Vegetarian","Prepare the Tomatoes., Prepare the Caesar dressing., Prepare the Cilantro., Prepare the Cilantro., Prepare the Lettuce.","Lettuce, Olive oil, Tomatoes, Cilantro, Caesar dressing, Cocoa powder",438,37,23,2,53,2.78,25,71,8.69,7
Corn Chowder,A delicious dish made with Carrots and other ingredients.,33,"General,Recipe,Vegetarian","Prepare the Cumin., Prepare the Salt., Prepare the Cumin., Prepare the Soy sauce., Prepare the Cumin.","Cheese, Soy sauce, Cumin, Salt",561,26,40,20,792,1.55,39,290,5.38,696
Peach Cobbler,A delicious dish made with Coconut milk and other ingredients.,42,"General,Recipe,Vegetarian","Prepare the Pepper., Prepare the Garlic., Prepare the Cumin., Prepare the Chili powder., Prepare the Pepper.","Cumin, Garlic, Pepper, Chili powder, Thyme, Carrots",447,23,34,19,802,3.93,0,25,3.08,297
Creme Brulee,A delicious dish made with Onions and other ingredients.,19,"General,Recipe,Quick,Low Fat","Prepare the Coconut milk., Prepare the Chicken., Prepare the Chicken., Prepare the Chicken., Prepare the Pasta.","Coconut milk, Pasta, Chicken",246,6,1,16,1128,0.91,84,296,1.79,492
Pork Fried Rice,A delicious dish made with Rice and other ingredients.,37,"General,Recipe,Vegetarian","Prepare the Bell peppers., Prepare the Thyme., Prepare the Thyme., Prepare the Rosemary., Prepare the Rosemary.","Salt, Rosemary, Thyme, Carrots, Bell peppers",620,41,31,7,355,1.88,54,114,7.95,950
Greek Salad,A delicious dish made with Parmesan cheese and other ingredients.,47,"General,Recipe,Vegetarian,Low Fat","Prepare the Lettuce., Prepare the Spinach., Prepare the Shrimp., Prepare the Spinach., Prepare the Shrimp.","Shrimp, Balsamic vinegar, Lettuce, Spinach, Cocoa powder, Ginger",309,41,3,16,1332,1.3,78,103,4.18,673
Samosas,A delicious dish made with Coconut milk and other ingredients.,60,"General,Recipe,Vegetarian","Prepare the Lettuce., Prepare the Lettuce., Prepare the Lettuce., Prepare the Lettuce., Prepare the Tortillas.","Tortillas, Lettuce, Salt",317,7,33,14,1456,4.24,90,26,2.9,966
Falafel,A delicious dish made with Lemon and other ingredients.,35,"General,Recipe,Vegetarian","Prepare the Carrots., Prepare the Coconut milk., Prepare the Coconut milk., Prepare the Coconut milk., Prepare the Shrimp.","Cilantro, Carrots, Shrimp, Coconut milk",211,19,39,29,319,4.94,91,5,2.22,204
Tandoori Chicken,A delicious dish made with Tomatoes and other ingredients.,44,"General,Recipe,Vegetarian","Prepare the Vegetable broth., Prepare the Eggs., Prepare the Chili powder., Prepare the Vegetable broth., Prepare the Chili powder.","Ginger, Eggs, Chili powder, Vegetable broth, Shrimp",264,44,22,30,791,3.79,87,165,6.84,467
Egg Drop Soup,A delicious dish made with Sugar and other ingredients.,47,"General,Recipe,Vegetarian,Low Fat","Prepare the Balsamic vinegar., Prepare the Basil., Prepare the Balsamic vinegar., Prepare the Pasta., Prepare the Basil.","Pasta, Basil, Balsamic vinegar",395,40,14,13,158,3.59,21,137,7.22,544
Beef Enchiladas,A delicious dish made with Coconut milk and other ingredients.,49,"General,Recipe,Vegetarian","Prepare the Cocoa powder., Prepare the Shrimp., Prepare the Cocoa powder., Prepare the Cocoa powder., Prepare the Cocoa powder.","Garlic, Shrimp, Cocoa powder, Lettuce",687,28,39,1,1037,3.0,35,152,3.89,193
Burrito Bowl,A delicious dish made with Butter and other ingredients.,44,"General,Recipe","Prepare the Cilantro., Prepare the Cilantro., Prepare the Chicken., Prepare the Soy sauce., Prepare the Onions.","Soy sauce, Cilantro, Chicken, Onions",606,19,31,8,1138,4.82,76,159,0.49,686
Seafood Linguine,A delicious dish made with Soy sauce and other ingredients.,37,"General,Recipe,Vegetarian,Low Fat","Prepare the Ginger., Prepare the Ginger., Prepare the Pepper., Prepare the Thyme., Prepare the Pepper.","Ginger, Thyme, Caesar dressing, Pepper, Parmesan cheese",610,33,8,10,151,4.7,57,233,3.65,658
Fish and Chips,A delicious dish made with Broccoli and other ingredients.,26,"General,Recipe,Quick,Vegetarian","Prepare the Rice., Prepare the Caesar dressing., Prepare the Coconut milk., Prepare the Cheese., Prepare the Cheese.","Spinach, Coconut milk, Cheese, Rice, Caesar dressing",531,22,24,18,1126,2.84,3,240,7.21,265
Caprese Salad,A delicious dish made with Onions and other ingredients.,52,"General,Recipe,Vegetarian","Prepare the Soy sauce., Prepare the Cheese., Prepare the Sugar., Prepare the Thyme., Prepare the Soy sauce.","Thyme, Cheese, Soy sauce, Sugar",329,23,26,0,1063,1.57,54,249,2.13,67
Buffalo Wings,A delicious dish made with Thyme and other ingredients.,60,"General,Recipe,Vegetarian,Low Fat","Prepare the Parmesan cheese., Prepare the Caesar dressing., Prepare the Parmesan cheese., Prepare the Vegetable broth., Prepare the Vegetable broth.","Vegetable broth, Caesar dressing, Parmesan cheese, Carrots",582,33,12,22,1105,0.77,24,261,8.96,485
Fettuccine Alfredo,A delicious dish made with Cilantro and other ingredients.,44,"General,Recipe,Vegetarian","Prepare the Pepper., Prepare the Tomatoes., Prepare the Cilantro., Prepare the Tomatoes., Prepare the Cilantro.","Lettuce, Tomatoes, Cilantro, Pepper",251,9,17,19,417,4.38,21,103,6.29,234
Spinach Salad,A delicious dish made with Salt and other ingredients.,55,"General,Recipe,Vegetarian","Prepare the Caesar dressing., Prepare the Balsamic vinegar., Prepare the Balsamic vinegar., Prepare the Flour., Prepare the Caesar dressing.","Balsamic vinegar, Caesar dressing, Flour",530,12,36,25,1219,2.27,37,186,4.08,282
Sausage and Peppers,A delicious dish made with Cumin and other ingredients.,29,"General,Recipe,Quick,Vegetarian","Prepare the Rice., Prepare the Spinach., Prepare the Vegetable broth., Prepare the Croutons., Prepare the Spinach.","Caesar dressing, Spinach, Rice, Croutons, Vegetable broth",165,44,31,26,136,2.81,72,26,2.69,405
Teriyaki Chicken,A delicious dish made with Olive oil and other ingredients.,24,"General,Recipe,Quick","Prepare the Cocoa powder., Prepare the Cilantro., Prepare the Parmesan cheese., Prepare the Parmesan cheese., Prepare the Cilantro.","Cocoa powder, Cilantro, Pork, Parmesan cheese",279,23,15,19,1116,3.29,66,131,1.37,748
Chicken Marsala,A delicious dish made with Tortillas and other ingredients.,39,"General,Recipe","Prepare the Rice., Prepare the Rice., Prepare the Cheese., Prepare the Cocoa powder., Prepare the Cocoa powder.","Cheese, Cocoa powder, Chicken, Vegetable broth, Rice",484,18,28,17,441,0.82,65,171,1.42,771
Pork Tenderloin,A delicious dish made with Sugar and other ingredients.,36,"General,Recipe,Vegetarian","Prepare the Parmesan cheese., Prepare the Salt., Prepare the Parmesan cheese., Prepare the Thyme., Prepare the Salt.","Thyme, Basil, Parmesan cheese, Salt",681,9,29,2,1357,4.65,79,262,3.82,450
Beef Meatballs,A delicious dish made with Tomatoes and other ingredients.,33,"General,Recipe","Prepare the Chicken., Prepare the Chili powder., Prepare the Chili powder., Prepare the Chicken., Prepare the Pork.","Chicken, Chili powder, Pork, Carrots",159,26,31,20,1316,3.64,30,81,1.06,158
Sushi Bowl,A delicious dish made with Broccoli and other ingredients.,53,"General,Recipe,Vegetarian,Low Fat","Prepare the Ginger., Prepare the Ginger., Prepare the Caesar dressing., Prepare the Croutons., Prepare the Soy sauce.","Ginger, Croutons, Caesar dressing, Spinach, Soy sauce",745,19,2,19,306,4.11,63,152,9.42,352
Nicoise Salad,A delicious dish made with Cumin and other ingredients.,56,"General,Recipe,Vegetarian,Low Fat","Prepare the Ginger., Prepare the Soy sauce., Prepare the Tomatoes., Prepare the Flour., Prepare the Soy sauce.","Soy sauce, Ginger, Tomatoes, Flour",221,6,12,16,1171,1.96,78,206,2.94,674
Bangers and Mash,A delicious dish made with Cumin and other ingredients.,59,"General,Recipe,Vegetarian,Low Fat","Prepare the Croutons., Prepare the Flour., Prepare the Cocoa powder., Prepare the Cocoa powder., Prepare the Sugar.","Sugar, Cocoa powder, Flour, Croutons, Soy sauce",167,40,10,27,1158,0.69,55,97,9.89,762
Beef and Broccoli,A delicious dish made with Eggs and other ingredients.,15,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Rosemary., Prepare the Rosemary., Prepare the Olive oil., Prepare the Rosemary., Prepare the Thyme.","Rosemary, Thyme, Olive oil",607,37,12,27,701,1.75,50,228,8.76,201
Chicken Katsu,A delicious dish made with Onions and other ingredients.,48,"General,Recipe,Vegetarian,Low Fat","Prepare the Shrimp., Prepare the Flour., Prepare the Shrimp., Prepare the Shrimp., Prepare the Shrimp.","Lettuce, Shrimp, Flour, Caesar dressing",699,15,1,25,389,1.29,24,74,2.31,701
Vegetable Curry,A delicious dish made with Onions and other ingredients.,23,"General,Recipe,Quick","Prepare the Tomatoes., Prepare the Beef., Prepare the Tomatoes., Prepare the Tomatoes., Prepare the Tomatoes.","Beef, Chicken, Tomatoes",258,16,27,16,542,3.18,66,73,4.99,835
Eggplant Rollatini,A delicious dish made with Salt and other ingredients.,37,"General,Recipe","Prepare the Rice., Prepare the Parmesan cheese., Prepare the Garlic., Prepare the Rice., Prepare the Garlic.","Parmesan cheese, Garlic, Rice, Coconut milk, Beef",530,45,29,23,1435,0.48,13,148,3.54,476
Chili Mac,A delicious dish made with Ginger and other ingredients.,27,"General,Recipe,Quick,Vegetarian","Prepare the Parmesan cheese., Prepare the Parmesan cheese., Prepare the Croutons., Prepare the Croutons., Prepare the Croutons.","Parmesan cheese, Croutons, Shrimp",768,49,27,30,435,2.01,64,265,5.65,813
Quinoa Salad,A delicious dish made with Sugar and other ingredients.,34,"General,Recipe","Prepare the Balsamic vinegar., Prepare the Beef., Prepare the Chicken., Prepare the Eggs., Prepare the Eggs.","Eggs, Carrots, Chicken, Balsamic vinegar, Beef",401,16,22,7,1341,4.02,15,294,0.62,409
Grilled Shrimp,A delicious dish made with Caesar dressing and other ingredients.,32,"General,Recipe,Vegetarian","Prepare the Cocoa powder., Prepare the Cheese., Prepare the Onions., Prepare the Cheese., Prepare the Cheese.","Cocoa powder, Cheese, Onions",190,26,19,27,567,3.21,9,87,2.98,557
Tuna Salad,A delicious dish made with Vegetable broth and other ingredients.,51,"General,Recipe","Prepare the Pork., Prepare the Caesar dressing., Prepare the Pork., Prepare the Caesar dressing., Prepare the Pork.","Caesar dressing, Butter, Pork",727,6,17,0,1475,1.98,53,41,7.03,761
Potato Salad,A delicious dish made with Soy sauce and other ingredients.,15,"General,Recipe,Quick,Vegetarian","Prepare the Eggs., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Olive oil.","Pepper, Eggs, Caesar dressing, Cilantro, Soy sauce, Olive oil",261,5,37,13,1074,2.84,2,145,5.64,356
Stuffed Zucchini,A delicious dish made with Parmesan cheese and other ingredients.,32,"General,Recipe,Vegetarian","Prepare the Rosemary., Prepare the Rosemary., Prepare the Rice., Prepare the Rosemary., Prepare the Rice.","Rice, Thyme, Rosemary",770,31,32,13,1163,0.16,10,252,2.0,86
Pasta Primavera,A delicious dish made with Beef and other ingredients.,37,"General,Recipe,Vegetarian","Prepare the Olive oil., Prepare the Olive oil., Prepare the Butter., Prepare the Olive oil., Prepare the Butter.","Butter, Salt, Olive oil, Ginger",358,45,40,3,1211,3.17,27,234,4.73,643
Baked Salmon,A delicious dish made with Chili powder and other ingredients.,27,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Broccoli., Prepare the Broccoli.","Soy sauce, Lettuce, Caesar dressing, Eggs, Broccoli",474,49,7,11,1460,3.13,85,117,2.62,849
Cinnamon Rolls,A delicious dish made with Cumin and other ingredients.,41,"General,Recipe,Vegetarian,Low Fat","Prepare the Spinach., Prepare the Shrimp., Prepare the Shrimp., Prepare the Tomatoes., Prepare the Spinach.","Spinach, Tomatoes, Shrimp",425,38,3,3,242,1.65,31,99,9.27,89
Cheeseburger Pizza,A delicious dish made with Rice and other ingredients.,51,"General,Recipe,Vegetarian,Low Fat","Prepare the Cumin., Prepare the Cumin., Prepare the Tortillas., Prepare the Salt., Prepare the Salt.","Cumin, Tortillas, Onions, Salt",595,39,5,27,123,1.3,99,114,9.11,650
Chocolate Brownies,A delicious dish made with Tomatoes and other ingredients.,41,"General,Recipe,Vegetarian","Prepare the Thyme., Prepare the Garlic., Prepare the Caesar dressing., Prepare the Sugar., Prepare the Caesar dressing.","Caesar dressing, Lettuce, Thyme, Sugar, Garlic",795,41,22,3,717,1.95,32,178,4.51,377
Shrimp Tacos,A delicious dish made with Basil and other ingredients.,15,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Lemon., Prepare the Lemon., Prepare the Lemon., Prepare the Butter., Prepare the Bell peppers.","Butter, Bell peppers, Lemon, Garlic, Rosemary, Olive oil",756,17,5,24,318,0.56,70,294,9.78,285
Chicken Korma,A delicious dish made with Pepper and other ingredients.,17,"General,Recipe,Quick","Prepare the Onions., Prepare the Onions., Prepare the Chili powder., Prepare the Chili powder., Prepare the Chili powder.","Chicken, Onions, Chili powder",582,24,36,29,179,2.53,11,118,0.58,499
Lemon Bars,A delicious dish made with Beef and other ingredients.,24,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Pepper., Prepare the Tomatoes., Prepare the Pepper., Prepare the Pasta., Prepare the Tomatoes.","Pepper, Onions, Pasta, Tomatoes",199,46,6,16,1445,1.39,64,207,3.85,977
Mango Sticky Rice,A delicious dish made with Cocoa powder and other ingredients.,21,"General,Recipe,Quick,Vegetarian","Prepare the Eggs., Prepare the Basil., Prepare the Basil., Prepare the Basil., Prepare the Rice.","Basil, Rice, Eggs",211,35,21,21,90,3.22,40,119,9.26,385
Baked Potato,A delicious dish made with Garlic and other ingredients.,22,"General,Recipe,Quick,Vegetarian","Prepare the Chili powder., Prepare the Croutons., Prepare the Croutons., Prepare the Chili powder., Prepare the Olive oil.","Croutons, Spinach, Rice, Chili powder, Onions, Olive oil",369,41,16,23,1213,3.42,81,233,9.02,975
Chicken Cacciatore,A delicious dish made with Chicken and other ingredients.,42,"General,Recipe,Vegetarian","Prepare the Lemon., Prepare the Butter., Prepare the Cumin., Prepare the Butter., Prepare the Butter.","Butter, Cumin, Lemon",754,18,39,25,418,2.32,81,146,1.41,589
Caprese Skewers,A delicious dish made with Butter and other ingredients.,54,"General,Recipe,Vegetarian","Prepare the Croutons., Prepare the Flour., Prepare the Flour., Prepare the Flour., Prepare the Flour.","Shrimp, Thyme, Croutons, Flour",370,10,29,12,298,2.35,26,137,2.19,32
Garlic Bread,A delicious dish made with Beef and other ingredients.,20,"General,Recipe,Quick,Vegetarian","Prepare the Tortillas., Prepare the Olive oil., Prepare the Basil., Prepare the Basil., Prepare the Tortillas.","Olive oil, Tortillas, Ginger, Basil, Cocoa powder",312,27,21,0,486,4.62,93,107,2.4,104
Jambalaya,A delicious dish made with Spinach and other ingredients.,41,"General,Recipe,Vegetarian","Prepare the Bell peppers., Prepare the Garlic., Prepare the Lettuce., Prepare the Lettuce., Prepare the Salt.","Lettuce, Bell peppers, Cheese, Garlic, Salt",748,14,27,5,986,3.93,6,42,5.84,706
Balsamic Chicken,A delicious dish made with Beef and other ingredients.,26,"General,Recipe,Quick","Prepare the Chili powder., Prepare the Salt., Prepare the Spinach., Prepare the Salt., Prepare the Chili powder.","Salt, Spinach, Chili powder, Beef",545,23,15,26,1023,4.08,2,216,2.14,610
Vegetable Stir Fry,A delicious dish made with Rice and other ingredients.,52,"Asian,Recipe,Vegetarian","Prepare the Sugar., Prepare the Butter., Prepare the Cheese., Prepare the Carrots., Prepare the Carrots.","Soy sauce, Tomatoes, Sugar, Carrots, Cheese, Butter",694,12,19,15,659,2.78,39,128,9.08,87
Cranberry Sauce,A delicious dish made with Pasta and other ingredients.,43,"General,Recipe,Vegetarian","Prepare the Coconut milk., Prepare the Cilantro., Prepare the Lettuce., Prepare the Cilantro., Prepare the Rosemary.","Salt, Lettuce, Rosemary, Coconut milk, Cilantro, Caesar dressing",204,47,27,2,1477,4.94,50,260,6.42,611
Pasta Salad,A delicious dish made with Carrots and other ingredients.,17,"General,Recipe,Quick,Vegetarian","Prepare the Pasta., Prepare the Lettuce., Prepare the Coconut milk., Prepare the Thyme., Prepare the Vegetable broth.","Coconut milk, Vegetable broth, Pasta, Lettuce, Rice, Thyme",255,43,25,8,917,3.55,54,164,8.0,33
Szechuan Noodles,A delicious dish made with Garlic and other ingredients.,17,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Spinach., Prepare the Onions., Prepare the Onions., Prepare the Spinach., Prepare the Spinach.","Onions, Pepper, Spinach",211,29,11,11,1189,3.31,81,107,3.08,381
Caramel Flan,A delicious dish made with Croutons and other ingredients.,55,"General,Recipe,Vegetarian,Low Fat","Prepare the Ginger., Prepare the Carrots., Prepare the Lettuce., Prepare the Lettuce., Prepare the Tortillas.","Salt, Lettuce, Carrots, Ginger, Tortillas, Flour",179,31,7,1,941,0.2,89,156,6.6,842
Crab Cakes,A delicious dish made with Thyme and other ingredients.,35,"General,Recipe,Vegetarian","Prepare the Lettuce., Prepare the Tortillas., Prepare the Tortillas., Prepare the Lemon., Prepare the Tortillas.","Lettuce, Cilantro, Lemon, Tortillas",649,48,19,7,944,4.84,54,3,8.22,529
Beef Kebab,A delicious dish made with Tortillas and other ingredients.,28,"General,Recipe,Quick,Vegetarian","Prepare the Coconut milk., Prepare the Basil., Prepare the Shrimp., Prepare the Basil., Prepare the Pasta.","Shrimp, Onions, Cilantro, Basil, Coconut milk, Pasta",708,29,39,18,121,3.72,67,271,0.47,455
Ramen Noodles,A delicious dish made with Rosemary and other ingredients.,45,"General,Recipe,Vegetarian","Prepare the Lettuce., Prepare the Pepper., Prepare the Pasta., Prepare the Pasta., Prepare the Basil.","Basil, Pasta, Pepper, Lettuce, Shrimp, Rosemary",290,50,24,30,357,1.43,94,257,0.39,763
Bangers and Mash,A delicious dish made with Thyme and other ingredients.,41,"General,Recipe,Low Fat","Prepare the Cheese., Prepare the Cheese., Prepare the Balsamic vinegar., Prepare the Parmesan cheese., Prepare the Pork.","Pork, Balsamic vinegar, Olive oil, Cheese, Parmesan cheese, Garlic",604,19,6,5,599,4.0,25,68,8.16,378
Chicken Tenders,A delicious dish made with Pork and other ingredients.,50,"General,Recipe,Vegetarian,Low Fat","Prepare the Rosemary., Prepare the Rosemary., Prepare the Tortillas., Prepare the Rosemary., Prepare the Carrots.","Tortillas, Carrots, Parmesan cheese, Rosemary",416,49,7,25,770,0.97,73,266,8.42,975
Seafood Gumbo,A delicious dish made with Pork and other ingredients.,25,"General,Recipe,Quick","Prepare the Chicken., Prepare the Pepper., Prepare the Cilantro., Prepare the Chicken., Prepare the Cilantro.","Bell peppers, Pepper, Cilantro, Chicken",388,42,40,19,701,1.83,51,100,7.9,588
Pork Schnitzel,A delicious dish made with Onions and other ingredients.,21,"General,Recipe,Quick,Vegetarian","Prepare the Eggs., Prepare the Flour., Prepare the Coconut milk., Prepare the Broccoli., Prepare the Flour.","Rosemary, Butter, Eggs, Coconut milk, Broccoli, Flour",673,24,40,22,1434,0.72,27,183,3.67,680
Chicken Burrito,A delicious dish made with Croutons and other ingredients.,40,"General,Recipe,Vegetarian,Low Fat","Prepare the Flour., Prepare the Spinach., Prepare the Carrots., Prepare the Carrots., Prepare the Tortillas.","Carrots, Coconut milk, Soy sauce, Flour, Tortillas, Spinach",648,21,2,30,873,4.12,80,126,3.61,413
Chicken Shawarma,A delicious dish made with Flour and other ingredients.,58,"General,Recipe,Low Fat","Prepare the Olive oil., Prepare the Broccoli., Prepare the Beef., Prepare the Pasta., Prepare the Pasta.","Rosemary, Broccoli, Rice, Pasta, Beef, Olive oil",546,10,7,15,811,4.18,23,47,9.83,92
Spaghetti Carbonara,A delicious dish made with Caesar dressing and other ingredients.,45,"Italian,Recipe,Vegetarian","Prepare the Onions., Prepare the Sugar., Prepare the Sugar., Prepare the Caesar dressing., Prepare the Carrots.","Sugar, Chili powder, Onions, Carrots, Caesar dressing",621,36,15,29,874,2.6,20,80,6.45,242
Tomato Soup,A delicious dish made with Pasta and other ingredients.,22,"American,Recipe,Quick,Vegetarian","Prepare the Pasta., Prepare the Cilantro., Prepare the Carrots., Prepare the Pasta., Prepare the Pasta.","Cilantro, Pasta, Carrots",368,19,24,0,847,2.16,66,132,6.59,369
Caesar Salad,A delicious dish made with Pasta and other ingredients.,16,"American,Recipe,Quick,Vegetarian,Low Fat","Prepare the Olive oil., Prepare the Onions., Prepare the Olive oil., Prepare the Olive oil., Prepare the Lemon.","Butter, Lemon, Onions, Olive oil",519,42,1,30,246,1.08,47,193,2.55,102
Chicken Curry,A delicious dish made with Vegetable broth and other ingredients.,28,"Indian,Recipe,Quick,Low Fat","Prepare the Cumin., Prepare the Pork., Prepare the Broccoli., Prepare the Broccoli., Prepare the Broccoli.","Soy sauce, Cumin, Sugar, Thyme, Pork, Broccoli",256,42,3,27,1085,4.88,20,205,0.5,160
Vegetable Stir Fry,A delicious dish made with Rice and other ingredients.,28,"Asian,Recipe,Quick,Vegetarian","Prepare the Olive oil., Prepare the Bell peppers., Prepare the Bell peppers., Prepare the Olive oil., Prepare the Olive oil.","Bell peppers, Shrimp, Olive oil",238,49,20,29,903,2.36,80,155,1.77,225
Beef Tacos,A delicious dish made with Pepper and other ingredients.,59,"General,Recipe,Vegetarian,Low Fat","Prepare the Olive oil., Prepare the Olive oil., Prepare the Olive oil., Prepare the Parmesan cheese., Prepare the Olive oil.","Olive oil, Salt, Cumin, Parmesan cheese",355,40,7,6,517,4.75,59,35,6.91,723
Lemon Garlic Salmon,A delicious dish made with Garlic and other ingredients.,39,"General,Recipe,Vegetarian,Low Fat","Prepare the Garlic., Prepare the Salt., Prepare the Garlic., Prepare the Vegetable broth., Prepare the Vegetable broth.","Cocoa powder, Flour, Salt, Vegetable broth, Garlic",342,49,5,25,1165,4.05,35,172,0.48,102
Margherita Pizza,A delicious dish made with Basil and other ingredients.,15,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Ginger., Prepare the Ginger., Prepare the Croutons., Prepare the Ginger., Prepare the Cocoa powder.","Croutons, Ginger, Cocoa powder",203,39,11,30,750,1.07,72,252,3.45,175
Chocolate Cake,A delicious dish made with Lemon and other ingredients.,40,"General,Recipe","Prepare the Coconut milk., Prepare the Cilantro., Prepare the Cumin., Prepare the Beef., Prepare the Beef.","Beef, Cumin, Tomatoes, Cilantro, Coconut milk",799,26,18,21,723,1.24,64,198,4.34,631
Pancakes,A delicious dish made with Flour and other ingredients.,38,"General,Recipe,Vegetarian","Prepare the Cheese., Prepare the Sugar., Prepare the Butter., Prepare the Cheese., Prepare the Butter.","Cheese, Butter, Sugar, Pasta",499,10,31,3,59,0.73,46,299,8.35,507
Grilled Cheese,A delicious dish made with Chili powder and other ingredients.,53,"General,Recipe","Prepare the Pork., Prepare the Basil., Prepare the Soy sauce., Prepare the Pasta., Prepare the Pasta.","Cocoa powder, Basil, Soy sauce, Pork, Pasta",298,14,40,15,197,0.14,19,85,9.02,646
Mushroom Risotto,A delicious dish made with Tomatoes and other ingredients.,28,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Salt., Prepare the Chili powder., Prepare the Tomatoes., Prepare the Flour., Prepare the Chili powder.","Chili powder, Thyme, Salt, Tomatoes, Flour, Cilantro",436,22,1,6,989,2.37,3,188,7.31,706
Beef Stroganoff,A delicious dish made with Chili powder and other ingredients.,58,"General,Recipe,Vegetarian","Prepare the Croutons., Prepare the Thyme., Prepare the Pasta., Prepare the Onions., Prepare the Thyme.","Croutons, Onions, Thyme, Pasta",559,9,20,22,322,2.56,95,240,5.56,950
Shrimp Scampi,A delicious dish made with Flour and other ingredients.,32,"General,Recipe,Low Fat","Prepare the Chicken., Prepare the Lettuce., Prepare the Cumin., Prepare the Shrimp., Prepare the Lettuce.","Chicken, Shrimp, Lettuce, Cumin, Pasta",628,18,8,1,1369,2.44,57,195,8.26,448
Quiche Lorraine,A delicious dish made with Carrots and other ingredients.,51,"General,Recipe,Vegetarian","Prepare the Ginger., Prepare the Broccoli., Prepare the Cheese., Prepare the Broccoli., Prepare the Broccoli.","Cocoa powder, Ginger, Cheese, Pasta, Soy sauce, Broccoli",536,23,21,4,1380,2.0,32,43,7.45,725
Stuffed Peppers,A delicious dish made with Chicken and other ingredients.,58,"General,Recipe,Vegetarian","Prepare the Butter., Prepare the Thyme., Prepare the Thyme., Prepare the Thyme., Prepare the Butter.","Tortillas, Balsamic vinegar, Butter, Thyme, Lemon",557,13,25,11,763,1.96,88,183,2.14,621
BBQ Ribs,A delicious dish made with Olive oil and other ingredients.,55,"General,Recipe,Vegetarian,Low Fat","Prepare the Broccoli., Prepare the Onions., Prepare the Broccoli., Prepare the Flour., Prepare the Onions.","Croutons, Broccoli, Flour, Onions",771,18,2,11,108,4.68,32,209,1.87,857
Fish Tacos,A delicious dish made with Croutons and other ingredients.,30,"General,Recipe,Quick","Prepare the Parmesan cheese., Prepare the Parmesan cheese., Prepare the Sugar., Prepare the Beef., Prepare the Broccoli.","Beef, Rice, Parmesan cheese, Sugar, Broccoli",168,29,15,15,104,3.91,6,65,4.74,302
Pulled Pork Sandwich,A delicious dish made with Shrimp and other ingredients.,20,"General,Recipe,Quick","Prepare the Tortillas., Prepare the Chicken., Prepare the Chicken., Prepare the Tortillas., Prepare the Tortillas.","Tortillas, Soy sauce, Chicken",154,22,34,7,458,4.62,82,4,1.05,224
Pad Thai,A delicious dish made with Lemon and other ingredients.,37,"General,Recipe","Prepare the Broccoli., Prepare the Coconut milk., Prepare the Eggs., Prepare the Coconut milk., Prepare the Chicken.","Eggs, Broccoli, Coconut milk, Chicken, Garlic, Onions",263,45,21,9,742,1.59,94,289,4.11,713
Ratatouille,A delicious dish made with Vegetable broth and other ingredients.,59,"General,Recipe,Vegetarian","Prepare the Pepper., Prepare the Lettuce., Prepare the Lettuce., Prepare the Spinach., Prepare the Pepper.","Spinach, Lettuce, Rice, Pepper",308,5,23,29,487,0.94,65,197,5.01,3
